pig_id ,wear_start_1        ,wear_end_1          ,wear_start_2        ,wear_end_2          ,wear_start_3        ,wear_end_3          ,wear_start_4        ,wear_end_4          ,wear_start_5        ,wear_end_5          ,wear_start_6        ,wear_end_6          ,wear_start_7        ,wear_end_7          ,wear_start_8        ,wear_end_8          ,wear_start_9        ,wear_end_9          ,wear_start_10       ,wear_end_10
CO-001 ,5/22/12 12:42,5/23/12 8:30,5/23/12 10:05,5/24/12 11:00,5/24/12 12:30,5/25/12 10:00,5/25/12 11:45,5/25/12 13:00,,,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,
CO-002 ,5/22/12 13:31,5/23/12 10:00,5/23/12 10:30,5/24/12 9:00,5/24/12 9:30,5/25/12 10:00,5/25/12 10:30,5/25/12 13:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,
CO-003 ,3/14/10 14:00,3/17/10 10:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-004 ,8/16/10 13:58,8/16/10 23:00,8/17/10 9:10,8/17/10 23:00,8/18/10 9:00,8/18/10 23:00,8/19/10 9:00,8/19/10 14:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-005 ,10/20/10 11:10,10/20/10 22:45,10/20/10 23:15,10/21/10 22:20,10/21/10 22:50,10/22/10 10:10,10/22/10 10:45,10/22/10 22:43,10/22/10 22:57,10/23/10 10:40,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-006 ,11/1/10 12:45,11/1/10 23:30,11/2/10 7:20,11/2/10 18:15,11/2/10 18:45,11/3/10 0:30,11/3/10 6:00,11/3/10 22:50,11/4/10 6:20,11/4/10 13:15,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-007 ,11/15/10 11:32,11/16/10 15:23,11/16/10 15:45,11/17/10 11:55,11/17/10 12:15,11/18/10 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-008 ,12/12/10 11:20,12/12/10 12:20,12/12/10 12:50,12/13/10 8:30,12/13/10 12:15,12/15/10 8:30,12/15/10 10:00,12/15/10 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-009 ,12/27/10 11:34,12/29/10 8:14,12/29/10 9:00,12/30/10 7:20,12/30/10 8:20,12/30/10 18:30,12/31/10 0:10,12/31/10 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-010 ,1/5/11 12:59,1/5/11 14:30,1/5/11 16:00,1/7/11 6:45,1/7/11 10:00,1/7/11 23:30,1/8/11 6:30,1/8/11 7:00,1/8/11 10:10,1/8/11 13:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-011 ,1/9/11 12:00,1/10/11 0:00,1/10/11 9:00,1/11/11 0:30,1/11/11 12:00,1/12/11 0:30,1/12/11 9:00,1/12/11 11:15,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-012 ,1/25/11 11:34,1/26/11 10:10,1/26/11 10:35,1/27/11 9:20,1/27/11 10:30,1/28/11 8:30,1/28/11 9:00,1/28/11 12:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-013 ,6/3/12 11:20,6/3/12 22:00,6/4/12 5:30,6/4/12 9:45,6/4/12 11:15,6/4/12 22:30,6/5/12 7:15,6/5/12 23:45,6/6/12 6:30,6/6/12 9:45,6/6/12 11:15,6/6/12 16:45,                    ,                    ,                    ,,,,,
CO-014 ,2/15/11 13:13,2/15/11 19:35,2/15/11 20:00,2/16/11 8:30,2/16/11 9:30,2/16/11 20:00,2/16/11 20:30,2/17/11 8:00,2/17/11 8:30,2/18/11 9:00,2/18/11 9:30,2/18/11 13:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
CO-015 ,3/9/11 12:12,3/9/11 23:10,3/9/11 23:30,3/10/11 20:30,3/10/11 21:00,3/11/11 20:30,3/11/11 21:00,3/12/11 15:00,3/12/11 16:00,3/13/11 8:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
CO-016 ,3/22/11 15:40,3/23/11 1:00,3/23/11 10:30,3/24/11 1:00,3/24/11 9:45,3/25/11 0:45,3/25/11 9:30,3/25/11 15:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-017 ,5/15/11 15:45,5/15/11 22:00,5/16/11 10:10,5/16/11 16:00,5/16/11 17:30,5/17/11 0:00,5/17/11 9:00,5/17/11 14:15,5/17/11 15:30,5/17/11 22:35,5/18/11 10:30,5/18/11 16:00,                    ,                    ,                    ,                    ,                    ,,,
CO-019 ,7/5/11 12:45,7/6/11 16:30,7/6/11 17:30,7/7/11 11:00,7/7/11 11:30,7/8/11 13:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-020 ,7/5/11 12:50,7/6/11 8:30,7/6/11 9:00,7/6/11 22:00,7/7/11 7:00,7/7/11 10:30,7/7/11 11:15,7/7/11 22:15,7/8/11 6:30,7/8/11 8:30,7/8/11 9:00,7/8/11 13:00,                    ,                    ,                    ,,,,,
CO-021 ,7/7/11 12:50,7/7/11 17:50,7/7/11 19:20,7/7/11 22:05,7/8/11 8:15,7/8/11 12:35,7/8/11 17:10,7/8/11 21:50,7/9/11 8:25,7/9/11 13:40,7/9/11 16:50,7/9/11 22:15,7/10/11 7:50,7/10/11 13:00,,,,,,
CO-022 ,8/10/11 11:10,8/10/11 21:30,8/11/11 6:30,8/11/11 17:15,8/11/11 18:00,8/11/11 21:30,8/12/11 7:00,8/12/11 18:00,8/12/11 18:30,8/12/11 21:30,8/13/11 6:45,8/13/11 11:20,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-023 ,8/24/11 14:25,8/25/11 0:30,8/25/11 6:30,8/26/11 0:30,8/26/11 7:30,8/27/11 1:30,8/27/11 7:30,8/27/11 16:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-026 ,7/5/12 15:50,7/5/12 17:55,7/5/12 18:00,7/5/12 22:55,7/6/12 6:45,7/6/12 8:00,7/6/12 8:30,7/6/12 23:30,7/7/12 7:15,7/7/12 10:05,7/7/12 10:50,7/7/12 23:55,7/8/12 8:15,7/8/12 14:30,,,,,,
CO-027 ,4/22/12 11:05,4/22/12 22:00,4/23/12 6:00,4/23/12 22:30,4/24/12 6:30,4/24/12 22:35,4/25/12 5:45,4/25/12 22:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-028 ,6/4/12 12:25,6/4/12 23:00,6/5/12 12:00,6/5/12 22:30,6/6/12 8:00,6/6/12 22:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-030 ,4/30/12 14:30,5/1/12 9:00,5/1/12 10:00,5/2/12 7:45,5/2/12 9:50,5/3/12 10:25,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-031 ,3/15/12 15:33,3/15/12 23:15,3/16/12 8:50,3/16/12 23:15,3/17/12 9:55,3/17/12 23:15,3/18/12 9:36,3/18/12 15:33,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
