pig_id,day,start_time,take_off,put_on,end_time,date,start,took_off
CO-001,day_0,,,10:30?,,2012-05-22 00:00:00,12:42:00,9:00?
CO-001,day_1,,,10:05:00,,,,08:30:00 - swimming and shower
CO-001,day_2,,,12:30:00,,,,11:00 - swimming and shower
CO-001,day_3,,,11:45:00,13:00:00,,,10:00:00
CO-002,day_0,,,,,2012-05-22 00:00:00,13:31:00,
CO-002,day_1,,,10:30:00,,,,10:00:00
CO-002,day_2,,,09:30:00,,,,09:00:00
CO-002,day_3,,,10:30:00,13:00:00,,,10:00:00
CO-003,day_0,,,,slept with it,2010-03-14 00:00:00,14:00:00,
CO-003,day_1,,,,slept with it,,,
CO-003,day_2,,,,slept with it,,,sometime in the evening
CO-003,day_3,,,,10:30:00,,,
CO-004,day_0,,,,23:00:00,2010-08-16 00:00:00,13:58:00,
CO-004,day_1,09:10:00,,,23:00:00,,,
CO-004,day_2,09:00:00,,,23:00:00,,,
CO-004,day_3,09:00:00,,,14:00:00,,,
CO-005,day_0,,,23:15:00,,2010-10-20 00:00:00,11:10:00,22:45 shower
CO-005,day_1,,,22:50:00,,,,22:20 shower
CO-005,day_2,,,10:45 ; 22:57,,,,10:10 shower; 22:43 rest
CO-005,day_3,,,,10:40:00,,,
CO-006,day_0,,,,23:30:00,2010-11-01 00:00:00,12:45:00,
CO-006,day_1,07:20:00,,18:45:00,00:30:00,,,18:15 shower
CO-006,day_2,06:00:00,,,22:50:00,,,
CO-006,day_3,06:20:00,,,13:15:00,,,
CO-007,day_0,,,,,2010-11-15 00:00:00,11:32:00,
CO-007,day_1,,,15:45:00,,,,15:23 US test
CO-007,day_2,,,12:15:00,,,,11:55 shower
CO-007,day_3,,,,12:00:00,,,
CO-008,day_0,,,12:50:00,,2010-12-12 00:00:00,11:20:00,12:20 shower
CO-008,day_1,,,12:15:00,,,,8:30 shower+med examination
CO-008,day_2,,,15:00:00,,,,? med examination
CO-008,day_3,,,10:00:00,12:00:00,,,08:30 shower
CO-009,day_0,,,,,2010-12-27 00:00:00,11:34:00,
CO-009,day_1,,,,,,,
CO-009,day_2,,,09:00:00,,,,8:14 shower
CO-009,day_3,,,00:10:00,12:00:00,,,"7:20-8:20 shower, 18:30 date"
CO-010,day_0,,,16:00:00,,2011-01-05 00:00:00,12:59:00,14:30 rest
CO-010,day_1,,,,,,,
CO-010,day_2,,,,23:30:00,,,6:45-10:10 sport
CO-010,day_3,06:30:00,,10:10:00,13:00:00,,,7:00 sport
CO-011,day_0,,,,00:00:00,2011-01-09 00:00:00,12:00:00,
CO-011,day_1,09:00:00,,,00:30:00,,,
CO-011,day_2,12:00:00,,,00:30:00,,,
CO-011,day_3,09:00:00,,,11:15:00,,,
CO-012,day_0,,,,slept with it,2011-01-25 00:00:00,11:34:00,
CO-012,day_1,,,10:35:00,slept with it,,,10:10:00
CO-012,day_2,,,10:30:00,slept with it,,,09:20:00
CO-012,day_3,,,09:00:00,12:30:00,,,08:30:00
