pig_id ,serial_number ,remarks            ,day   ,date       ,event_type ,time     ,timestamp           ,events
CO-001 ,2088          ,47h                ,day_0 ,2012-05-22 ,start_time ,12:42:00 ,2012-05-22T12:42:00 ,
CO-002 ,2075          ,75h                ,day_0 ,2012-05-22 ,start_time ,13:31:00 ,2012-05-22T13:31:00 ,
CO-003 ,2017          ,75h                ,day_0 ,2010-03-14 ,start_time ,14:00:00 ,2010-03-14T14:00:00 ,
CO-004 ,1007          ,                   ,day_0 ,2010-08-16 ,start_time ,13:58:00 ,2010-08-16T13:58:00 ,
CO-004 ,1007          ,                   ,day_0 ,2010-08-16 ,end_time   ,23:00:00 ,2010-08-16T23:00:00 ,
CO-005 ,2007 (1001)   ,                   ,day_0 ,2010-10-20 ,start_time ,11:10:00 ,2010-10-20T11:10:00 ,fall 11:40
CO-005 ,2007 (1001)   ,                   ,day_0 ,2010-10-20 ,put_on     ,23:15:00 ,2010-10-20T23:15:00 ,fall 11:40
CO-006 ,2018 (1002)   ,                   ,day_0 ,2010-11-01 ,start_time ,12:45:00 ,2010-11-01T12:45:00 ,
CO-006 ,2018 (1002)   ,                   ,day_0 ,2010-11-01 ,end_time   ,23:30:00 ,2010-11-01T23:30:00 ,
CO-007 ,2028 (1005)   ,                   ,day_0 ,2010-11-15 ,start_time ,11:32:00 ,2010-11-15T11:32:00 ,
CO-008 ,2007 (1001)   ,                   ,day_0 ,2010-12-12 ,start_time ,11:20:00 ,2010-12-12T11:20:00 ,
CO-008 ,2007 (1001)   ,                   ,day_0 ,2010-12-12 ,put_on     ,12:50:00 ,2010-12-12T12:50:00 ,
CO-009 ,2018 (1002)   ,                   ,day_0 ,2010-12-27 ,start_time ,11:34:00 ,2010-12-27T11:34:00 ,
CO-010 ,2120 (1006)   ,                   ,day_0 ,2011-01-05 ,start_time ,12:59:00 ,2011-01-05T12:59:00 ,
CO-010 ,2120 (1006)   ,                   ,day_0 ,2011-01-05 ,put_on     ,16:00:00 ,2011-01-05T16:00:00 ,
CO-011 ,2018 (1002)   ,                   ,day_0 ,2011-01-09 ,start_time ,12:00:00 ,2011-01-09T12:00:00 ,
CO-011 ,2018 (1002)   ,                   ,day_0 ,2011-01-09 ,end_time   ,00:00:00 ,2011-01-09T00:00:00 ,
CO-012 ,2007 (1001)   ,                   ,day_0 ,2011-01-25 ,start_time ,11:34:00 ,2011-01-25T11:34:00 ,
CO-013 ,2027          ,                   ,day_0 ,2012-06-03 ,start_time ,11:20:00 ,2012-06-03T11:20:00 ,
CO-013 ,2027          ,                   ,day_0 ,2012-06-03 ,end_time   ,22:00:00 ,2012-06-03T22:00:00 ,
CO-014 ,2028 (1005)   ,                   ,day_0 ,2011-02-15 ,start_time ,13:13:00 ,2011-02-15T13:13:00 ,
CO-014 ,2028 (1005)   ,                   ,day_0 ,2011-02-15 ,put_on     ,20:00:00 ,2011-02-15T20:00:00 ,
CO-015 ,2028 (1005)   ,                   ,day_0 ,2011-03-09 ,start_time ,12:12:00 ,2011-03-09T12:12:00 ,
CO-015 ,2028 (1005)   ,                   ,day_0 ,2011-03-09 ,took_off   ,23:10:00 ,2011-03-09T23:10:00 ,
CO-015 ,2028 (1005)   ,                   ,day_0 ,2011-03-09 ,put_on     ,23:30:00 ,2011-03-09T23:30:00 ,
CO-016 ,2028 (1005)   ,65h                ,day_0 ,2011-03-22 ,start_time ,15:40:00 ,2011-03-22T15:40:00 ,
CO-016 ,2028 (1005)   ,65h                ,day_0 ,2011-03-22 ,end_time   ,01:00:00 ,2011-03-22T01:00:00 ,
CO-017 ,2088          ,75h                ,day_0 ,2011-05-15 ,start_time ,15:45:00 ,2011-05-15T15:45:00 ,
CO-017 ,2088          ,75h                ,day_0 ,2011-05-15 ,end_time   ,22:00:00 ,2011-05-15T22:00:00 ,
CO-019 ,2028 (1005)   ,                   ,day_0 ,2011-07-05 ,start_time ,12:45:00 ,2011-07-05T12:45:00 ,
CO-020 ,2130          ,                   ,day_0 ,2011-07-05 ,start_time ,12:50:00 ,2011-07-05T12:50:00 ,
CO-021 ,2007 (1001)   ,75h                ,day_0 ,2011-07-07 ,start_time ,12:50:00 ,2011-07-07T12:50:00 ,
