pig_id ,day   ,start_time     ,take_off_1     ,put_on_1       ,take_off_2     ,put_on_2       ,end_time
CO-001 ,day_0 ,5/22/12 12:42  ,5/22/12 9:00   ,5/22/12 10:30  ,               ,               ,
CO-001 ,day_1 ,               ,5/23/12 8:30   ,5/23/12 10:05  ,               ,               ,
CO-001 ,day_2 ,               ,5/24/12 11:00  ,5/24/12 12:30  ,               ,               ,
CO-001 ,day_3 ,               ,5/25/12 10:00  ,5/25/12 11:45  ,               ,               ,5/25/12 13:00
CO-002 ,day_0 ,5/22/12 13:31  ,               ,               ,               ,               ,
CO-002 ,day_1 ,               ,5/23/12 10:00  ,5/23/12 10:30  ,               ,               ,
CO-002 ,day_2 ,               ,5/24/12 9:00   ,5/24/12 9:30   ,               ,               ,
CO-002 ,day_3 ,               ,5/25/12 10:00  ,5/25/12 10:30  ,               ,               ,5/25/12 13:00
CO-003 ,day_0 ,3/14/10 14:00  ,               ,               ,               ,               ,
CO-003 ,day_1 ,               ,               ,               ,               ,               ,
CO-003 ,day_2 ,               ,               ,               ,               ,               ,
CO-003 ,day_3 ,               ,               ,               ,               ,               ,3/17/10 10:30
CO-004 ,day_0 ,8/16/10 13:58  ,               ,               ,               ,               ,8/16/10 23:00
CO-004 ,day_1 ,8/17/10 9:10   ,               ,               ,               ,               ,8/17/10 23:00
CO-004 ,day_2 ,8/18/10 9:00   ,               ,               ,               ,               ,8/18/10 23:00
CO-004 ,day_3 ,8/19/10 9:00   ,               ,               ,               ,               ,8/19/10 14:00
CO-005 ,day_0 ,10/20/10 11:10 ,10/20/10 22:45 ,10/20/10 23:15 ,               ,               ,
CO-005 ,day_1 ,               ,10/21/10 22:20 ,10/21/10 22:50 ,               ,               ,
CO-005 ,day_2 ,               ,10/22/10 10:10 ,10/22/10 10:45 ,10/22/10 22:43 ,10/22/10 22:57 ,
CO-005 ,day_3 ,               ,               ,               ,               ,               ,10/23/10 10:40
CO-006 ,day_0 ,11/1/10 12:45  ,               ,               ,               ,               ,11/1/10 23:30
CO-006 ,day_1 ,11/2/10 7:20   ,11/2/10 18:15  ,11/2/10 18:45  ,               ,               ,11/2/10 0:30
