pig_id,wear_start_1,wear_end_1,wear_start_2,wear_end_2,wear_start_3,wear_end_3,wear_start_4,wear_end_4,wear_start_5,wear_end_5,wear_start_6,wear_end_6,wear_start_7,wear_end_7,wear_start_8,wear_end_8,wear_start_9,wear_end_9,wear_start_10,wear_end_10,wear_start_11,wear_end_11,wear_start_12,wear_end_12,wear_start_13,wear_end_13,wear_start_14,wear_end_14,wear_start_15,wear_end_15,wear_start_16,wear_end_16,wear_start_17,wear_end_17,wear_start_18,wear_end_18,wear_start_19,wear_end_19,wear_start_20,wear_end_20,wear_start_21,wear_end_21,wear_start_22,wear_end_22,wear_start_23,wear_end_23,wear_start_24,wear_end_24,wear_start_25,wear_end_25,wear_start_26,wear_end_26
CO-001,2012-05-22 12:42:00,2012-05-22 17:27:00,2012-05-22 17:29:00,2012-05-23 12:03:00,2012-05-23 12:08:00,2012-05-24 02:43:00,2012-05-24 02:45:00,2012-05-24 04:14:00,2012-05-24 04:19:00,2012-05-24 12:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-002,2012-05-22 13:31:00,2012-05-23 00:18:00,2012-05-23 00:22:00,2012-05-23 00:49:00,2012-05-23 00:51:00,2012-05-23 01:39:00,2012-05-23 01:42:00,2012-05-23 07:35:00,2012-05-23 07:37:00,2012-05-24 02:50:00,2012-05-24 03:20:00,2012-05-24 13:12:00,2012-05-24 13:23:00,2012-05-24 21:04:00,2012-05-24 21:06:00,2012-05-25 01:38:00,2012-05-25 01:42:00,2012-05-25 09:01:00,2012-05-25 09:03:00,2012-05-25 13:47:00,2012-05-25 13:50:00,2012-05-25 14:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-003,2010-03-14 14:00:00,2010-03-14 20:27:00,2010-03-14 20:30:00,2010-03-14 20:56:00,2010-03-14 20:58:00,2010-03-15 01:19:00,2010-03-15 01:59:00,2010-03-15 02:37:00,2010-03-15 02:40:00,2010-03-15 04:28:00,2010-03-15 04:31:00,2010-03-15 06:25:00,2010-03-15 06:28:00,2010-03-15 11:14:00,2010-03-15 11:16:00,2010-03-15 17:38:00,2010-03-15 18:50:00,2010-03-16 01:34:00,2010-03-16 01:52:00,2010-03-16 06:53:00,2010-03-16 06:56:00,2010-03-16 11:17:00,2010-03-16 11:19:00,2010-03-16 11:40:00,2010-03-16 15:25:00,2010-03-16 15:45:00,2010-03-16 15:49:00,2010-03-16 18:22:00,2010-03-16 18:49:00,2010-03-17 03:16:00,2010-03-17 03:18:00,2010-03-17 03:39:00,2010-03-17 03:42:00,2010-03-17 11:50:00,2010-03-17 13:55:00,2010-03-17 14:40:00,2010-03-17 14:44:00,2010-03-17 16:16:00,2010-03-17 16:18:00,2010-03-17 16:59:00,,,,,,,,,,,,
CO-004,2010-08-16 13:58:00,2010-08-16 16:42:00,2010-08-16 16:44:00,2010-08-17 00:00:00,2010-08-17 00:02:00,2010-08-17 00:24:00,2010-08-17 07:54:00,2010-08-17 19:47:00,2010-08-17 19:50:00,2010-08-17 21:26:00,2010-08-17 21:28:00,2010-08-17 21:50:00,2010-08-18 08:02:00,2010-08-18 08:23:00,2010-08-18 08:26:00,2010-08-18 23:48:00,2010-08-18 23:51:00,2010-08-19 00:13:00,2010-08-19 07:49:00,2010-08-19 08:11:00,2010-08-19 08:13:00,2010-08-19 16:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-005,2010-10-20 11:10:00,2010-10-22 07:08:00,2010-10-22 07:11:00,2010-10-22 07:36:00,2010-10-22 07:38:00,2010-10-22 19:48:00,2010-10-22 19:50:00,2010-10-23 11:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-006,2010-11-01 12:45:00,2010-11-02 00:18:00,2010-11-02 00:20:00,2010-11-02 00:42:00,2010-11-02 06:31:00,2010-11-02 20:25:00,2010-11-02 20:28:00,2010-11-02 21:53:00,2010-11-02 21:57:00,2010-11-02 22:29:00,2010-11-02 22:31:00,2010-11-03 01:54:00,2010-11-03 05:12:00,2010-11-03 20:01:00,2010-11-03 20:03:00,2010-11-03 23:04:00,2010-11-03 23:06:00,2010-11-03 23:29:00,2010-11-03 23:33:00,2010-11-03 23:53:00,2010-11-04 05:58:00,2010-11-04 06:19:00,2010-11-04 06:22:00,2010-11-04 10:08:00,2010-11-04 10:11:00,2010-11-04 11:08:00,2010-11-04 11:13:00,2010-11-04 15:05:00,,,,,,,,,,,,,,,,,,,,,,,,
CO-007,2010-11-15 11:32:00,2010-11-16 08:57:00,2010-11-16 09:00:00,2010-11-16 11:00:00,2010-11-16 11:03:00,2010-11-17 02:46:00,2010-11-17 03:21:00,2010-11-17 10:22:00,2010-11-17 10:29:00,2010-11-18 01:32:00,2010-11-18 01:35:00,2010-11-18 08:02:00,2010-11-18 08:05:00,2010-11-18 12:49:00,2010-11-18 13:22:00,2010-11-18 14:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-008,2010-12-12 11:20:00,2010-12-12 16:12:00,2010-12-12 16:14:00,2010-12-12 20:38:00,2010-12-12 20:40:00,2010-12-13 10:00:00,2010-12-13 10:04:00,2010-12-13 13:58:00,2010-12-13 14:00:00,2010-12-13 14:21:00,2010-12-13 14:24:00,2010-12-13 16:25:00,2010-12-13 16:27:00,2010-12-14 07:47:00,2010-12-14 11:11:00,2010-12-14 11:31:00,2010-12-14 11:35:00,2010-12-14 20:26:00,2010-12-14 20:28:00,2010-12-15 04:32:00,2010-12-15 04:34:00,2010-12-15 14:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-009,2010-12-27 11:34:00,2010-12-27 13:13:00,2010-12-27 13:18:00,2010-12-27 20:39:00,2010-12-27 20:41:00,2010-12-28 21:37:00,2010-12-28 21:39:00,2010-12-28 22:32:00,2010-12-28 22:34:00,2010-12-29 11:44:00,2010-12-29 11:48:00,2010-12-29 19:21:00,2010-12-29 19:24:00,2010-12-29 19:44:00,2010-12-29 22:58:00,2010-12-29 23:19:00,2010-12-29 23:21:00,2010-12-30 07:08:00,2010-12-30 07:10:00,2010-12-30 11:34:00,2010-12-30 11:41:00,2010-12-30 13:48:00,2010-12-30 13:51:00,2010-12-30 14:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-010,2011-01-05 12:59:00,2011-01-06 12:04:00,2011-01-06 12:12:00,2011-01-07 05:30:00,2011-01-07 05:33:00,2011-01-07 08:21:00,2011-01-07 08:53:00,2011-01-07 11:20:00,2011-01-07 11:23:00,2011-01-07 20:26:00,2011-01-07 20:28:00,2011-01-08 00:41:00,2011-01-08 05:05:00,2011-01-08 09:17:00,2011-01-08 09:21:00,2011-01-08 13:55:00,2011-01-08 13:58:00,2011-01-08 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
